BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT
2012,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,STREET LIGHTING,0.00,20310.37,20310.37,0.00,0.00,20310.37,0.00,0.00,0.00,,51Q,94H184
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT FACILITY SECURITY AND MAINTENANCE,951000.00,848175.27,-102824.73,0.00,0.00,848175.27,0.00,0.00,0.00,,385,94H427
2013,TRANSPORTATION,SPECIAL PARKING REVENUE,"REPLACEMENT PARTS, TOOLS & EQUIPMENT",800000.00,714081.67,-85918.33,0.00,0.00,714081.67,0.00,0.00,0.00,,363,94J070
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,REIMBURSEMENT OF GENERAL FUND COSTS,26631676.00,0.00,0.00,0.00,0.00,26631676.00,0.00,0.00,26631676.00,,51Q,94Y299
2012,TRANSPORTATION,TRANSPORTATION GRANTS FUND,HSIP CYCLE 4-ROXFORD,0.00,211485.00,284000.00,0.00,0.00,284000.00,0.00,0.00,72515.00,,655,94H582
2021,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,OPEN STREETS PROGRAM,500000.00,92516.12,-407483.88,0.00,0.00,92516.12,0.00,0.00,0.00,SPECIAL,528,9407PT
2015,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,TRANSPORTATION,2276376.00,2924895.67,648519.67,0.00,0.00,2924895.67,0.00,0.00,0.00,,51Q,94L194
2017,TRANSPORTATION,PERMIT PARKING PROG REV FD,REIMBURSEMENT OF GENERAL FUND COSTS,686817.00,623061.28,0.00,0.00,0.00,686817.00,0.00,0.00,63755.72,,49C,94N299
2019,TRANSPORTATION,SPECIAL PARKING REVENUE,SPECIAL PARKING REVENUE FUND LOCAL RETURN - PILOT,1500000.00,0.00,-1500000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94RS06
2016,TRANSPORTATION,LOCAL TRANSPORTATION,EXPO BIKEPATH PHASE 2 MATCH,144142.00,144142.00,0.00,0.00,0.00,144142.00,0.00,0.00,0.00,,207,94MD07
2019,TRANSPORTATION,TRANSPORTATION REVIEW FEE FUND,MOBILITY ACCESSIBILITY & EVALUATION TOOLS,0.00,224985.00,225000.00,0.00,0.00,225000.00,0.00,0.00,15.00,,50Y,94RY02
2021,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,PERSONNEL,525922.00,416034.95,-109887.05,0.00,0.00,416034.95,0.00,0.00,0.00,,528,94166T
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,DASH - COMMUNITY DASH AREA 3,5520000.00,597634.93,0.00,0.00,4922365.07,597634.93,0.00,0.00,-0.00,,385,94H254
2014,TRANSPORTATION,ATSAC TRUST,"CTMC, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,484,94K409
2012,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,FINANCIAL CONSULTANT SERVICES,50000.00,188435.21,-1564.79,140000.00,0.00,188435.21,0.00,0.00,0.00,,540,94H340
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RIDE AND FIELD CHECKS,1000000.00,0.00,-1000000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94RA13
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PAINT AND SIGN MAINTENANCE,1639984.00,1620880.87,-19103.13,0.00,0.00,1620880.87,0.00,0.00,0.00,,540,94K803
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,BULWER DR BULKHEAD REPLACEMENT,500000.00,0.00,-500000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94J646
2019,TRANSPORTATION,WEST LA TRANSP IMPROV & MITIGA,REIMBURSEMENT OF GENERAL FUND COSTS,253936.00,179158.53,-74777.47,0.00,0.00,179158.53,0.00,0.00,0.00,,681,94R299
2012,TRANSPORTATION,NEIGHBORHOOD TRAFFIC MGMT,SINAI TEMPLE-SPEED HUMPS,0.00,9834.48,11186.00,0.00,0.00,11186.00,0.00,0.00,1351.52,,47H,94H470
2024,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,SCHOOL SPEED LIMIT UPDATES,750000.00,0.00,0.00,0.00,0.00,750000.00,0.00,0.00,750000.00,SPECIAL,540,94YC13
2019,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,LA RIVERWAY (SAN FERNANDO VALLEY COMPLETION),1500000.00,1500000.00,0.00,0.00,0.00,1500000.00,0.00,0.00,0.00,SPECIAL,59C,94RV36
2022,TRANSPORTATION,DEPT TRANSPORTATION TRUST,SUNLAND BLVD AT JOHANNA AVE IMPROVEMENT,0.00,0.00,445500.00,0.00,0.00,445500.00,0.00,0.00,445500.00,,840,94VE25
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT SIGN PRODUCTION/INSTLL,250000.00,152120.59,-97879.41,0.00,0.00,152120.59,0.00,0.00,0.00,,385,94N240
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,CAPITAL IMPROVEMENT EXPENSE PROGRAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,655,94T154
2013,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),FIELD EQUIPMENT EXPENSE,435765.00,379925.09,0.00,0.00,38777.00,396988.00,0.00,0.00,17062.91,EXPENSES,100,003090
2015,TRANSPORTATION,LOCAL TRANSPORTATION,TRANSPORTATION,0.00,366751.34,366751.34,0.00,0.00,366751.34,0.00,0.00,0.00,,207,94L194
2018,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),CONSTRUCTION EXPENSE,4560.00,488.83,0.00,0.00,450.00,4110.00,0.00,0.00,3621.17,EXPENSES,100,003030
2015,TRANSPORTATION,LOCAL TRANSPORTATION,"EXPO BIKE PATH, PHASE 2",0.00,677578.00,677578.00,0.00,0.00,677578.00,0.00,0.00,0.00,,207,94L666
2020,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,TRANSPORTATION,562102.00,244486.74,-317615.26,0.00,0.00,244486.74,0.00,0.00,0.00,,447,94194S
2020,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,OPERATING EXPENSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,596,946602
2022,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,BUREAU OF ENGINEERING,1406963.00,1125927.93,430000.00,0.00,0.00,1836963.00,0.00,0.00,711035.07,,59C,94V178
2014,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BUS INSPECTION AND MAINTAINACNE FACILITY,12500000.00,0.00,-12500000.00,0.00,0.00,0.00,0.00,0.00,0.00,,385,94K315
2019,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING WAY FINDING SIGNS,0.00,88890.00,88890.00,0.00,0.00,88890.00,0.00,0.00,0.00,,363,94RS13
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,MATCHING FUNDS - MEASURE R PROJECTS/LRPT/30-10,13000000.00,13000000.00,0.00,0.00,0.00,13000000.00,0.00,0.00,0.00,SPECIAL,385,94N200
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRAVEL & TRAINING,32000.00,42960.12,10960.12,0.00,0.00,42960.12,0.00,0.00,0.00,,385,94N314
2016,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,PERSONNEL,582822.00,496775.90,-86046.10,0.00,0.00,496775.90,0.00,0.00,0.00,,528,94166M
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,THIRD PARTY INSPECTIONS FOR TRANSIT CAPITAL,250000.00,31862.33,-218137.67,0.00,0.00,31862.33,0.00,0.00,0.00,,385,94H414
2022,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,147923864.00,125590486.84,178151.05,0.00,5405000.00,142697015.05,0.00,0.00,17106528.21,SALARIES AND BENEFITS,100,001010
2012,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),"FURNITURE, OFFICE AND TECHNICA",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,EQUIPMENT,100,007300
2013,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,0.00,231185.82,231185.82,0.00,0.00,231185.82,0.00,0.00,0.00,,596,94J194
2016,TRANSPORTATION,LOCAL TRANSPORTATION,BICYCLE PARKING,150000.00,149994.39,-5.61,0.00,0.00,149994.39,-0.00,0.00,0.00,,207,94MD04
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS CONSULTANT,300000.00,0.00,-300000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94T429
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,OFFICE SUPPLIES,15000.00,12863.88,-2136.12,0.00,0.00,12863.88,-0.00,0.00,0.00,SPECIAL,385,94N415
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BIKESHARE OPERATIONS AND MAINTENANCE,3000000.00,3000000.00,0.00,0.00,0.00,3000000.00,0.00,0.00,0.00,SPECIAL,385,94PM05
2020,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,MLK STREETSCAPE,750000.00,0.00,-501381.00,0.00,0.00,248619.00,0.00,0.00,248619.00,SPECIAL,59C,94SV48
2022,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT OPERATIONS,145000000.00,26807726.53,-51084669.00,0.00,0.00,93915331.00,10462218.68,0.00,67107604.47,SPECIAL,385,94V431
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,GRANT REIMBURSEMENT TO PROP C FUND,0.00,5516682.14,5516682.14,0.00,0.00,5516682.14,0.00,0.00,0.00,,655,94L999
2021,TRANSPORTATION,TRANSPORTATION GRANTS FUND,INTERACTIVE BICYCLE BOARD DEMO PROJECT (ECO COUNTER)-LAF7708,0.00,407581.90,417441.61,0.00,0.00,417441.61,2851.97,0.00,9859.71,,655,94TT2N
2016,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,BUREAU OF ENGINEERING,112598.00,112351.14,-246.86,0.00,0.00,112351.14,0.00,0.00,0.00,,528,94178M
2021,TRANSPORTATION,TRANSPORTATION REVIEW FEE FUND,TRANSPORTATION,0.00,162886.55,162886.55,0.00,0.00,162886.55,0.00,0.00,0.00,,50Y,94T194
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,SPECIAL PARKING REVENUE,0.00,700000.00,700000.00,0.00,0.00,700000.00,0.00,0.00,0.00,,51Q,94J363
2016,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,FINANCIAL CONSULTANT SERV,50000.00,0.00,-50000.00,0.00,0.00,0.00,0.00,0.00,0.00,,540,94M340
2017,TRANSPORTATION,SPECIAL PARKING REVENUE,CONTRACTUAL SERVICES,24662549.00,21391000.02,-3271548.98,0.00,0.00,21391000.02,0.00,0.00,0.00,SPECIAL,363,94N050
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,BUREAU OF STREET LIGHTING,0.00,14583.11,14583.11,0.00,0.00,14583.11,0.00,0.00,0.00,,385,94T184
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TECHNOLOGY AND COMMUNICATIONS EQUIPMENT,130000.00,126962.97,-3037.03,0.00,0.00,126962.97,0.00,0.00,0.00,SPECIAL,385,94P406
2022,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,LED REPLACEMENT MODULES,2000000.00,0.00,0.00,0.00,0.00,2000000.00,0.00,0.00,2000000.00,,540,94VC05
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,JENNINGS DR BULKHEAD (4111 JENNINGS),300000.00,0.00,-300000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94J648
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PATH MAINTENANCE,613000.00,0.00,-613000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,540,94T992
2020,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PERSONNEL,245025.00,239680.79,-5344.21,0.00,0.00,239680.79,0.00,0.00,0.00,,540,94S166
2012,TRANSPORTATION,LOCAL TRANSPORTATION,BICYCLE PARKING,0.00,59123.80,59123.80,0.00,0.00,59123.80,0.00,0.00,0.00,,207,94H667
2016,TRANSPORTATION,LOCAL TRANSPORTATION,CIEP - PHYSICAL PLANT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,207,94M902
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,ATP TRAINING,0.00,0.00,26000.00,0.00,0.00,26000.00,0.00,0.00,26000.00,,655,94L944
2022,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PATH MAINTENANCE,613000.00,613000.00,0.00,0.00,0.00,613000.00,0.00,0.00,0.00,SPECIAL,540,94V992
2018,TRANSPORTATION,SPECIAL PARKING REVENUE,GENERAL SERVICES,0.00,362200.62,362200.62,0.00,0.00,362200.62,0.00,0.00,0.00,,363,94P140
2014,TRANSPORTATION,LOCAL TRANSPORTATION,PROJECT TECH SUPPORT-BIKEWAYS,0.00,14882.69,14882.69,0.00,0.00,14882.69,0.00,0.00,0.00,,207,94K669
2016,TRANSPORTATION,SPECIAL PARKING REVENUE,CURBSIDE MANAGEMENT STUDY,150000.00,0.00,-150000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94MS02
2014,TRANSPORTATION,DEPT TRANSPORTATION TRUST,TRANSPORTATION,0.00,1685180.42,1685180.42,0.00,0.00,1685180.42,0.00,0.00,0.00,,840,94K194
2017,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION,5240908.00,4396901.16,-844006.84,0.00,0.00,4396901.16,0.00,0.00,0.00,,385,94N194
2016,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PW-CONTRACT ADMINISTRATION,2843680.00,2033698.64,-809981.36,0.00,0.00,2033698.64,0.00,0.00,0.00,,540,94M176
2017,TRANSPORTATION,VENTURA/CAHUENGA CORRIDOR PLAN,TRAFFIC SIGNAL INSTALLATION,0.00,162727.27,179000.00,0.00,0.00,179000.00,8136.37,16272.73,0.00,,523,94NM09
2014,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,PW-STREET SERVICES,2517477.00,2517477.00,0.00,0.00,0.00,2517477.00,0.00,0.00,0.00,,385,94K186
2022,TRANSPORTATION,DEPT TRANSPORTATION TRUST,VENICE BOULEVARD PROJECT PLANNING,0.00,241206.20,280000.00,0.00,0.00,280000.00,120149.07,0.00,38793.80,,840,94VE31
2014,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,EQUIPMENT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,596,946734
2015,TRANSPORTATION,ATSAC TRUST,LAUSD-SFV05-159 VALLEY REGION ES #6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,484,94L952
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,TRANSPORTATION CONTINGENCY,500000.00,70434.48,-429565.52,0.00,0.00,70434.48,0.00,0.00,0.00,,51Q,94J501
2024,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PEDESTRIAN PLAN/PROGRAM,3891494.00,0.00,0.00,0.00,0.00,3891494.00,0.00,0.00,3891494.00,SPECIAL,51Q,94Y487
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION,6006360.00,4770572.18,-1235787.82,0.00,0.00,4770572.18,0.00,0.00,0.00,,385,94S194
2020,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,535625.00,697163.23,0.00,305992.00,20000.00,821617.00,1824.69,0.00,124453.77,EXPENSES,100,006010
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,CITY ADMINISTRATIVE OFFICER,77063.00,49807.02,-27255.98,0.00,0.00,49807.02,0.00,0.00,0.00,,540,94R110
2014,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRAFFIC ASSET MANAGEMENT SYSTEM,0.00,1069994.21,1260874.49,0.00,0.00,1260874.49,16800.00,0.00,190880.28,,540,94K309
2021,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,TRANSPORTATION,269025.00,0.00,-8071.00,0.00,0.00,260954.00,0.00,0.00,260954.00,,596,94T194
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,TRANSPORTATION,37721758.00,31537156.36,-6184601.64,0.00,0.00,31537156.36,0.00,0.00,0.00,,540,94R194
2012,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,TRANSPORTATION CONTINGENCY,1000000.00,0.00,-960000.00,0.00,40000.00,0.00,0.00,0.00,0.00,,51Q,94H501
2014,TRANSPORTATION,TRANSP REGULATION &ENFORCEMENT,POLICE,0.00,621175.85,621175.85,0.00,0.00,621175.85,0.00,0.00,0.00,,596,94K170
2021,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),BENEFITS HIRING HALL,0.00,70000.00,0.00,250000.00,0.00,250000.00,0.00,0.00,180000.00,SALARIES AND BENEFITS,100,001120
2019,TRANSPORTATION,SPECIAL PARKING REVENUE,COLLECTION SERVICES,3000000.00,1960131.90,-1039868.10,0.00,0.00,1960131.90,-0.00,0.00,0.00,SPECIAL,363,94R010
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,ECO RAPID TRANSIT JPA,50000.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,50000.00,SPECIAL,385,94TA16
2021,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,VEHICLES FOR HIRE TECHNOLOGY UPGRADES,30000.00,30000.00,0.00,0.00,0.00,30000.00,30000.00,0.00,0.00,SPECIAL,385,94TA05
2012,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,DEPARTMENT OF AGING,336625.00,257055.30,-79569.70,0.00,0.00,257055.30,0.00,0.00,0.00,,385,94H102
2013,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,MATCHING FUNDS - MEASURE R PROJECTS/LRTP/30-10,4000000.00,4000000.00,0.00,0.00,0.00,4000000.00,0.00,0.00,0.00,,51Q,94J200
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,CONTINGENCY FOR OBLIGATORY CHANGES,48886.00,0.00,-48886.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94K443
2018,TRANSPORTATION,TRANSPORTATION GRANTS FUND,PW-STREET LIGHTING,0.00,209610.28,217930.00,0.00,0.00,217930.00,0.00,0.00,8319.72,,655,94P184
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,QUALITY ASSURANCE PROGRAM,30000.00,0.00,-30000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94P491
2016,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,5TH & 6TH ST BRIDGE OVER HRBOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,385,94M295
2016,TRANSPORTATION,TRANSPORTATION GRANTS FUND,PW-STREET LIGHTING,0.00,233590.07,233590.07,0.00,0.00,233590.07,0.00,0.00,0.00,,655,94M184
2018,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,VISION ZERO TRAFFIC SIGNALS,0.00,406886.00,1300000.00,0.00,0.00,1300000.00,17461.51,0.00,893114.00,,51Q,94PV41
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,GENERAL SERVICES,672396.00,676405.72,4009.72,0.00,0.00,676405.72,0.00,0.00,0.00,,540,94R140
2021,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,LED REPLACEMENT MODULES,0.00,0.00,464638.02,0.00,0.00,464638.02,0.00,0.00,464638.02,,59C,94TC05
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,QUALITY ASSURANCE PROGRAM,30000.00,0.00,-30000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94R491
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,REIMBURSEMENT FOR MTA BUS PASS SALES,1400000.00,0.00,-1400000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94S419
2023,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,10944650.00,9560800.47,0.00,63888.00,1437243.00,9571295.00,0.00,0.00,10494.53,SALARIES AND BENEFITS,100,001070
2023,TRANSPORTATION,TRANSPORTATION REVIEW FEE FUND,ENHANCEMENT COSTS-DEVELOPMENT REVIEW,0.00,754.30,63914.43,0.00,0.00,63914.43,754.30,0.00,63160.13,,50Y,94WY01
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RESERVE FOR FUTURE TRANSIT SERVICE,5775430.00,0.00,0.00,0.00,0.00,5775430.00,0.00,0.00,5775430.00,SPECIAL,385,94W399
2023,TRANSPORTATION,TRANSPORTATION GRANTS FUND,TELFAIR AVE MULTI-MODAL BRIDGE OVER PACOIMA WASH,0.00,0.00,5000000.00,0.00,0.00,5000000.00,0.00,0.00,5000000.00,,655,94WT4M
2022,TRANSPORTATION,SPECIAL PARKING REVENUE,MISCELLANEOUS EQUIPMENT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,363,94W020
2014,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,TRANSPORTATION,148592.00,140715.17,-7876.83,0.00,0.00,140715.17,0.00,0.00,0.00,,447,94K194
2012,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,MAYOR,30045.00,30045.00,0.00,0.00,0.00,30045.00,0.00,0.00,0.00,,528,94146H
2016,TRANSPORTATION,COASTAL TRANSP CORRIDOR TRUST,ENGINEERING SPECIAL SERVICES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,447,94M682
2012,TRANSPORTATION,ARRA-TRANSPORTATION PROJ SPECI,TRANSPORTATION,0.00,2197696.32,2197696.32,0.00,0.00,2197696.32,0.00,0.00,0.00,,51X,94H194
2024,TRANSPORTATION,MEASURE M LOCAL RETURN SPECIAL FUND,CONCRETE STREETS,1100000.00,0.00,0.00,0.00,0.00,1100000.00,0.00,0.00,1100000.00,SPECIAL,59C,94YV02
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PW-CONTRACT ADMINISTRATION,3798020.00,1959773.84,-1838246.16,0.00,0.00,1959773.84,0.00,0.00,0.00,,540,94R176
2017,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,MAYOR,30045.00,30045.00,0.00,0.00,0.00,30045.00,0.00,0.00,0.00,,528,94146N
2015,TRANSPORTATION,TRANSPORTATION GRANTS FUND,SR2S-HOLLYWOOD HS N SELMA AVE ELEM SCHOOL,0.00,2329268.55,3412000.00,0.00,0.00,3412000.00,0.34,0.00,1082731.45,,655,94LT40
2018,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,PW-STREET SERVICES,2203067.00,1572004.97,-631062.03,0.00,0.00,1572004.97,0.00,0.00,0.00,,385,94P186
2013,TRANSPORTATION,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,148280.00,135086.07,0.00,20000.00,0.00,168280.00,0.00,0.00,33193.93,EXPENSES,100,003310
2012,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PLAN/PROGRAM,30000.00,10120.95,-19879.05,0.00,0.00,10120.95,0.00,0.00,0.00,,540,94H306
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,UNIVERSAL FARE SYSTEM,500000.00,0.00,-500000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,385,94S413
2019,TRANSPORTATION,SPECIAL PARKING REVENUE,PARKING METER AND OFF-STREET PARKING ADMINISTRATION,5534348.00,4449350.87,-1084997.13,0.00,0.00,4449350.87,0.00,0.00,0.00,SPECIAL,363,94R060
2018,TRANSPORTATION,MICLA LEASE REV COM PAPER NTES,TRAFFIC SIGNAL SAFETY PROJECTS,0.00,690949.75,1522544.27,0.00,0.00,1522544.27,-0.00,0.00,831594.52,,298,94PL02
2013,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BICYCLE PLAN/PROGRAM,40000.00,1730.92,-38269.08,0.00,0.00,1730.92,0.00,0.00,-0.00,,540,94J306
2020,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,YOUTH PROGRAM BUS SERVICES - RECREATION AND PARKS,500000.00,500000.00,0.00,0.00,0.00,500000.00,0.00,0.00,0.00,SPECIAL,385,94S850
2021,TRANSPORTATION,PERMIT PARKING PROG REV FD,TRANSPORTATION,2745123.00,1600957.87,-582354.00,0.00,0.00,2162769.00,0.00,0.00,561811.13,,49C,94T194
2019,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,PAINT AND SIGN MAINTENANCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,540,94RC06
2015,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,RESERVE FOR FUTURE TRANSIT SERVICE,90946663.00,0.00,-90946663.00,0.00,0.00,0.00,0.00,0.00,0.00,,385,94L399
2019,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSPORTATION,5414735.00,4360625.29,-1054109.71,0.00,0.00,4360625.29,0.00,0.00,0.00,,385,94R194
2014,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,MATCHING FUNDS - MEASURE R PROJECTS/LRTP/30-10,6000000.00,5861930.00,-138070.00,0.00,0.00,5861930.00,0.00,0.00,0.00,,51Q,94K200
2023,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,YOUTH PROGRAM BUS SERVICES - RECREATION AND PARKS,500000.00,500000.00,0.00,0.00,0.00,500000.00,0.00,0.00,0.00,SPECIAL,385,94W850
2017,TRANSPORTATION,LOCAL TRANSPORTATION,TRANSPORTATION,0.00,343046.32,343046.32,0.00,0.00,343046.32,0.00,0.00,0.00,,207,94N194
2020,TRANSPORTATION,TRANSPORTATION GRANTS FUND,REIMBURSEMENT OF GENERAL FUND COSTS,5012185.00,1518915.87,-3493269.13,0.00,0.00,1518915.87,0.00,0.00,0.00,,655,94S299
2015,TRANSPORTATION,MEASURE R LOCAL RETURN FUND,PW-ENGINEERING,250000.00,0.00,-250000.00,0.00,0.00,0.00,0.00,0.00,0.00,,51Q,94L178
2024,TRANSPORTATION,LOCAL TRANSPORTATION,BIKEWAYS PROGRAM,1000000.00,0.00,0.00,0.00,0.00,1000000.00,0.00,0.00,1000000.00,SPECIAL,207,94YD02
2013,TRANSPORTATION,PROPOSITION A LOCAL TRANSIT,TRANSIT SIGN PRODUCTION AND INSTALLATION,200000.00,200000.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,,385,94J240
2015,TRANSPORTATION,DEPT TRANSPORTATION TRUST,GREAT STREETS COMMUNITY GRANTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,840,94L495
2012,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,TECHNICAL SERVICES CONTRACTS,60000.00,0.00,-60000.00,0.00,0.00,0.00,0.00,0.00,0.00,,528,94265H
